Role,Required_Skills,Preferred_Skills,Minimum_CGPA,Experience_Level,Certifications,Recommended_Projects,ATS_Keywords,Resume_Tips,Industry,Tools_Frameworks,Soft_Skills,Salary_Range,Career_Path
AI Engineer,"Python,NLP,TensorFlow,Deep Learning","LLM,Computer Vision",7,Intermediate,TensorFlow Developer,AI Chatbot,"AI,Deep Learning,NLP",Show AI model deployment projects,Artificial Intelligence,"PyTorch,TensorFlow","Analytical Thinking,Teamwork",10-22 LPA,ML Architect
Database Administrator,"TensorFlow,Docker,Excel,Power BI","Power BI,Docker",8,Advanced,Understand Certification,English as a foreign language teacher,"MongoDB,C++,Kubernetes",Improve projects and quantify achievements,AI,"Kubernetes,Git","Problem Solving,Teamwork",8-21 LPA,Contractor
AI Engineer,"Python,NLP,TensorFlow,Deep Learning","LLM,Computer Vision",7,Beginner,TensorFlow Developer,AI Chatbot,"AI,Deep Learning,NLP",Show AI model deployment projects,Artificial Intelligence,"PyTorch,TensorFlow","Analytical Thinking,Teamwork",10-22 LPA,ML Architect
QA Engineer,"MongoDB,Kubernetes,TensorFlow,Power BI","C++,AWS",8.1,Intermediate,Just Certification,Aeronautical engineer,"Excel,React,Git",Improve projects and quantify achievements,Technology,"Linux,SQL","Creativity,Adaptability",11-20 LPA,Planning and development surveyor
Product Manager,"Power BI,C++,SQL,Excel","Figma,AWS",6.6,Advanced,Arm Certification,Medical physicist,"React,Figma,Power BI",Improve projects and quantify achievements,AI,"MongoDB,SQL","Creativity,Adaptability",11-19 LPA,Technical sales engineer
AI Engineer,"Python,NLP,TensorFlow,Deep Learning","LLM,Computer Vision",7,Intermediate,TensorFlow Developer,AI Chatbot,"AI,Deep Learning,NLP",Show AI model deployment projects,Artificial Intelligence,"PyTorch,TensorFlow","Analytical Thinking,Teamwork",10-22 LPA,ML Architect
UI UX Designer,"React,Kubernetes,Linux,Power BI","Linux,AWS",8.1,Beginner,Anyone Certification,Interior and spatial designer,"Docker,TensorFlow,AWS",Improve projects and quantify achievements,AI,"Java,Figma","Creativity,Adaptability",7-25 LPA,Stage manager
Cloud Engineer,"React,AWS,Excel,Git","Linux,Docker",7.3,Advanced,Pull Certification,"Psychologist, clinical","Kubernetes,Figma,TensorFlow",Improve projects and quantify achievements,AI,"Excel,Power BI","Leadership,Communication",4-20 LPA,Arts administrator
DevOps Engineer,"Node.js,TensorFlow,React,Python","AWS,Excel",8.5,Beginner,Bit Certification,"Scientist, water quality","TensorFlow,Excel,Python",Improve projects and quantify achievements,Finance,"Git,Python","Creativity,Adaptability",7-15 LPA,Warehouse manager
Network Engineer,"AWS,Java,Docker,Node.js","Excel,Node.js",7.9,Advanced,Create Certification,Restaurant manager,"MongoDB,TensorFlow,Docker",Improve projects and quantify achievements,Cloud,"C++,TensorFlow","Creativity,Adaptability",6-25 LPA,Energy manager
Web Developer,"HTML,CSS,JavaScript,React","Node.js,Next.js",6.5,Intermediate,Meta Frontend,Portfolio Website,"Frontend,Responsive Design",Add live website links,Software Development,"React,Bootstrap","Creativity,Communication",5-12 LPA,Full Stack Developer
IoT Engineer,"React,Node.js,Linux,SQL","TensorFlow,MongoDB",7,Advanced,Community Certification,Theme park manager,"React,Java,AWS",Improve projects and quantify achievements,Finance,"Node.js,Kubernetes","Leadership,Communication",7-19 LPA,Historic buildings inspector/conservation officer
Cloud Engineer,"React,AWS,Excel,Git","Linux,Docker",7.3,Intermediate,Pull Certification,"Psychologist, clinical","Kubernetes,Figma,TensorFlow",Improve projects and quantify achievements,AI,"Excel,Power BI","Leadership,Communication",4-20 LPA,Arts administrator
Big Data Engineer,"Power BI,SQL,Java,Docker","AWS,Java",6.8,Advanced,North Certification,Advertising art director,"Power BI,Figma,AWS",Improve projects and quantify achievements,Cloud,"Git,AWS","Leadership,Communication",7-21 LPA,Cabin crew
DevOps Engineer,"Node.js,TensorFlow,React,Python","AWS,Excel",8.5,Advanced,Bit Certification,"Scientist, water quality","TensorFlow,Excel,Python",Improve projects and quantify achievements,Finance,"Git,Python","Creativity,Adaptability",7-15 LPA,Warehouse manager
Big Data Engineer,"Power BI,SQL,Java,Docker","AWS,Java",6.8,Advanced,North Certification,Advertising art director,"Power BI,Figma,AWS",Improve projects and quantify achievements,Cloud,"Git,AWS","Leadership,Communication",7-21 LPA,Cabin crew
Cybersecurity Analyst,"Networking,Python,Cybersecurity","Ethical Hacking,Kali Linux",7,Intermediate,CEH,Scam Detection System,"Security,Threat Analysis",Add cybersecurity labs and reports,Cybersecurity,"Wireshark,Metasploit","Attention to Detail,Problem Solving",7-16 LPA,Security Architect
Big Data Engineer,"Power BI,SQL,Java,Docker","AWS,Java",6.8,Intermediate,North Certification,Advertising art director,"Power BI,Figma,AWS",Improve projects and quantify achievements,Cloud,"Git,AWS","Leadership,Communication",7-21 LPA,Cabin crew
SAP Consultant,"TensorFlow,Kubernetes,C++,Excel","Figma,Node.js",7.7,Advanced,Article Certification,"Therapist, occupational","Excel,Power BI,Kubernetes",Improve projects and quantify achievements,Cloud,"Python,Git","Problem Solving,Teamwork",9-23 LPA,Stage manager
Data Scientist,"Python,ML,SQL,Pandas","Deep Learning,TensorFlow,Data Visualization",7.5,Intermediate,Google Data Analytics,AI Resume Analyzer,"Machine Learning,Data Analysis,Python",Add ML projects and data visualization work,Technology,"Scikit-learn,TensorFlow","Problem Solving,Communication",8-18 LPA,Senior Data Scientist
Big Data Engineer,"Power BI,SQL,Java,Docker","AWS,Java",6.8,Beginner,North Certification,Advertising art director,"Power BI,Figma,AWS",Improve projects and quantify achievements,Cloud,"Git,AWS","Leadership,Communication",7-21 LPA,Cabin crew
Blockchain Developer,"Python,SQL,Java,MongoDB","Linux,Figma",8.2,Advanced,Use Certification,"Designer, jewellery","Figma,Excel,Node.js",Improve projects and quantify achievements,Healthcare,"Kubernetes,Figma","Problem Solving,Teamwork",7-18 LPA,Warehouse manager
Data Scientist,"Python,ML,SQL,Pandas","Deep Learning,TensorFlow,Data Visualization",7.5,Beginner,Google Data Analytics,AI Resume Analyzer,"Machine Learning,Data Analysis,Python",Add ML projects and data visualization work,Technology,"Scikit-learn,TensorFlow","Problem Solving,Communication",8-18 LPA,Senior Data Scientist
AR VR Developer,"Excel,Java,Git,Python","React,Python",7.1,Beginner,Evidence Certification,Actuary,"Excel,MongoDB,Power BI",Improve projects and quantify achievements,AI,"React,SQL","Creativity,Adaptability",8-16 LPA,"Lecturer, higher education"
Cybersecurity Analyst,"Networking,Python,Cybersecurity","Ethical Hacking,Kali Linux",7,Intermediate,CEH,Scam Detection System,"Security,Threat Analysis",Add cybersecurity labs and reports,Cybersecurity,"Wireshark,Metasploit","Attention to Detail,Problem Solving",7-16 LPA,Security Architect
Digital Marketer,"Kubernetes,Git,Node.js,Java","TensorFlow,Kubernetes",8.1,Beginner,Perform Certification,Estate agent,"Python,Power BI,TensorFlow",Improve projects and quantify achievements,Finance,"Git,C++","Leadership,Communication",4-14 LPA,"Surveyor, land/geomatics"
Database Administrator,"TensorFlow,Docker,Excel,Power BI","Power BI,Docker",8,Advanced,Understand Certification,English as a foreign language teacher,"MongoDB,C++,Kubernetes",Improve projects and quantify achievements,AI,"Kubernetes,Git","Problem Solving,Teamwork",8-21 LPA,Contractor
Cloud Engineer,"React,AWS,Excel,Git","Linux,Docker",7.3,Intermediate,Pull Certification,"Psychologist, clinical","Kubernetes,Figma,TensorFlow",Improve projects and quantify achievements,AI,"Excel,Power BI","Leadership,Communication",4-20 LPA,Arts administrator
DevOps Engineer,"Node.js,TensorFlow,React,Python","AWS,Excel",8.5,Intermediate,Bit Certification,"Scientist, water quality","TensorFlow,Excel,Python",Improve projects and quantify achievements,Finance,"Git,Python","Creativity,Adaptability",7-15 LPA,Warehouse manager
Digital Marketer,"Kubernetes,Git,Node.js,Java","TensorFlow,Kubernetes",8.1,Beginner,Perform Certification,Estate agent,"Python,Power BI,TensorFlow",Improve projects and quantify achievements,Finance,"Git,C++","Leadership,Communication",4-14 LPA,"Surveyor, land/geomatics"
Backend Developer,"Power BI,Docker,TensorFlow,AWS","C++,Git",7.6,Advanced,Show Certification,"Surveyor, commercial/residential","Excel,Figma,AWS",Improve projects and quantify achievements,Technology,"MongoDB,Node.js","Problem Solving,Teamwork",9-21 LPA,Web designer
Embedded Systems Engineer,"TensorFlow,Node.js,AWS,Excel","AWS,Power BI",6.2,Beginner,North Certification,"Engineer, biomedical","Python,React,Excel",Improve projects and quantify achievements,AI,"React,Docker","Problem Solving,Teamwork",12-14 LPA,Public relations account executive
Game Developer,"MongoDB,Figma,Git,Python","C++,SQL",7.9,Beginner,Message Certification,Special educational needs teacher,"Git,MongoDB,Docker",Improve projects and quantify achievements,Technology,"AWS,Python","Leadership,Communication",7-17 LPA,Music tutor
IoT Engineer,"React,Node.js,Linux,SQL","TensorFlow,MongoDB",7,Intermediate,Community Certification,Theme park manager,"React,Java,AWS",Improve projects and quantify achievements,Finance,"Node.js,Kubernetes","Leadership,Communication",7-19 LPA,Historic buildings inspector/conservation officer
SAP Consultant,"TensorFlow,Kubernetes,C++,Excel","Figma,Node.js",7.7,Beginner,Article Certification,"Therapist, occupational","Excel,Power BI,Kubernetes",Improve projects and quantify achievements,Cloud,"Python,Git","Problem Solving,Teamwork",9-23 LPA,Stage manager
Digital Marketer,"Kubernetes,Git,Node.js,Java","TensorFlow,Kubernetes",8.1,Intermediate,Perform Certification,Estate agent,"Python,Power BI,TensorFlow",Improve projects and quantify achievements,Finance,"Git,C++","Leadership,Communication",4-14 LPA,"Surveyor, land/geomatics"
Embedded Systems Engineer,"TensorFlow,Node.js,AWS,Excel","AWS,Power BI",6.2,Advanced,North Certification,"Engineer, biomedical","Python,React,Excel",Improve projects and quantify achievements,AI,"React,Docker","Problem Solving,Teamwork",12-14 LPA,Public relations account executive
Robotics Engineer,"Node.js,Power BI,Excel,Python","Java,Docker",6.2,Beginner,Health Certification,"Copywriter, advertising","Node.js,Docker,React",Improve projects and quantify achievements,Technology,"Figma,Python","Problem Solving,Teamwork",11-25 LPA,Oncologist
Digital Marketer,"Kubernetes,Git,Node.js,Java","TensorFlow,Kubernetes",8.1,Intermediate,Perform Certification,Estate agent,"Python,Power BI,TensorFlow",Improve projects and quantify achievements,Finance,"Git,C++","Leadership,Communication",4-14 LPA,"Surveyor, land/geomatics"
Cybersecurity Analyst,"Networking,Python,Cybersecurity","Ethical Hacking,Kali Linux",7,Beginner,CEH,Scam Detection System,"Security,Threat Analysis",Add cybersecurity labs and reports,Cybersecurity,"Wireshark,Metasploit","Attention to Detail,Problem Solving",7-16 LPA,Security Architect
System Administrator,"SQL,Git,AWS,Python","Linux,C++",8.1,Intermediate,Determine Certification,"Engineer, materials","MongoDB,TensorFlow,Java",Improve projects and quantify achievements,Finance,"Node.js,C++","Problem Solving,Teamwork",10-25 LPA,"Engineer, land"
Prompt Engineer,"Java,C++,Excel,Git","Power BI,AWS",6.6,Intermediate,Push Certification,Printmaker,"AWS,Node.js,Excel",Improve projects and quantify achievements,Healthcare,"TensorFlow,Excel","Problem Solving,Teamwork",12-22 LPA,Private music teacher
Business Analyst,"MongoDB,Linux,Java,React","SQL,Linux",6.1,Intermediate,Important Certification,"Engineer, biomedical","AWS,Git,Figma",Improve projects and quantify achievements,Cloud,"Excel,Kubernetes","Creativity,Adaptability",12-24 LPA,"Engineer, production"
AR VR Developer,"Excel,Java,Git,Python","React,Python",7.1,Intermediate,Evidence Certification,Actuary,"Excel,MongoDB,Power BI",Improve projects and quantify achievements,AI,"React,SQL","Creativity,Adaptability",8-16 LPA,"Lecturer, higher education"
Computer Vision Engineer,"Node.js,C++,TensorFlow,Git","Git,React",7.3,Intermediate,Business Certification,Educational psychologist,"Git,Figma,React",Improve projects and quantify achievements,Finance,"Excel,C++","Creativity,Adaptability",12-19 LPA,"Embryologist, clinical"
Big Data Engineer,"Power BI,SQL,Java,Docker","AWS,Java",6.8,Beginner,North Certification,Advertising art director,"Power BI,Figma,AWS",Improve projects and quantify achievements,Cloud,"Git,AWS","Leadership,Communication",7-21 LPA,Cabin crew
Backend Developer,"Power BI,Docker,TensorFlow,AWS","C++,Git",7.6,Advanced,Show Certification,"Surveyor, commercial/residential","Excel,Figma,AWS",Improve projects and quantify achievements,Technology,"MongoDB,Node.js","Problem Solving,Teamwork",9-21 LPA,Web designer
Game Developer,"MongoDB,Figma,Git,Python","C++,SQL",7.9,Intermediate,Message Certification,Special educational needs teacher,"Git,MongoDB,Docker",Improve projects and quantify achievements,Technology,"AWS,Python","Leadership,Communication",7-17 LPA,Music tutor
Prompt Engineer,"Java,C++,Excel,Git","Power BI,AWS",6.6,Advanced,Push Certification,Printmaker,"AWS,Node.js,Excel",Improve projects and quantify achievements,Healthcare,"TensorFlow,Excel","Problem Solving,Teamwork",12-22 LPA,Private music teacher
IoT Engineer,"React,Node.js,Linux,SQL","TensorFlow,MongoDB",7,Advanced,Community Certification,Theme park manager,"React,Java,AWS",Improve projects and quantify achievements,Finance,"Node.js,Kubernetes","Leadership,Communication",7-19 LPA,Historic buildings inspector/conservation officer
Site Reliability Engineer,"Node.js,Linux,Excel,C++","MongoDB,Figma",7.6,Beginner,Surface Certification,"Clinical scientist, histocompatibility and immunogenetics","TensorFlow,Excel,React",Improve projects and quantify achievements,Healthcare,"Excel,AWS","Creativity,Adaptability",8-19 LPA,Planning and development surveyor
Computer Vision Engineer,"Node.js,C++,TensorFlow,Git","Git,React",7.3,Advanced,Business Certification,Educational psychologist,"Git,Figma,React",Improve projects and quantify achievements,Finance,"Excel,C++","Creativity,Adaptability",12-19 LPA,"Embryologist, clinical"
Cloud Engineer,"React,AWS,Excel,Git","Linux,Docker",7.3,Intermediate,Pull Certification,"Psychologist, clinical","Kubernetes,Figma,TensorFlow",Improve projects and quantify achievements,AI,"Excel,Power BI","Leadership,Communication",4-20 LPA,Arts administrator
System Administrator,"SQL,Git,AWS,Python","Linux,C++",8.1,Intermediate,Determine Certification,"Engineer, materials","MongoDB,TensorFlow,Java",Improve projects and quantify achievements,Finance,"Node.js,C++","Problem Solving,Teamwork",10-25 LPA,"Engineer, land"
Mobile App Developer,"SQL,AWS,Linux,Docker","C++,Kubernetes",7.6,Beginner,Word Certification,Geoscientist,"Figma,Node.js,MongoDB",Improve projects and quantify achievements,Healthcare,"Node.js,Java","Problem Solving,Teamwork",12-19 LPA,Market researcher
UI UX Designer,"React,Kubernetes,Linux,Power BI","Linux,AWS",8.1,Advanced,Anyone Certification,Interior and spatial designer,"Docker,TensorFlow,AWS",Improve projects and quantify achievements,AI,"Java,Figma","Creativity,Adaptability",7-25 LPA,Stage manager
Data Scientist,"Python,ML,SQL,Pandas","Deep Learning,TensorFlow,Data Visualization",7.5,Beginner,Google Data Analytics,AI Resume Analyzer,"Machine Learning,Data Analysis,Python",Add ML projects and data visualization work,Technology,"Scikit-learn,TensorFlow","Problem Solving,Communication",8-18 LPA,Senior Data Scientist
Big Data Engineer,"Power BI,SQL,Java,Docker","AWS,Java",6.8,Intermediate,North Certification,Advertising art director,"Power BI,Figma,AWS",Improve projects and quantify achievements,Cloud,"Git,AWS","Leadership,Communication",7-21 LPA,Cabin crew
Site Reliability Engineer,"Node.js,Linux,Excel,C++","MongoDB,Figma",7.6,Advanced,Surface Certification,"Clinical scientist, histocompatibility and immunogenetics","TensorFlow,Excel,React",Improve projects and quantify achievements,Healthcare,"Excel,AWS","Creativity,Adaptability",8-19 LPA,Planning and development surveyor
AI Engineer,"Python,NLP,TensorFlow,Deep Learning","LLM,Computer Vision",7,Intermediate,TensorFlow Developer,AI Chatbot,"AI,Deep Learning,NLP",Show AI model deployment projects,Artificial Intelligence,"PyTorch,TensorFlow","Analytical Thinking,Teamwork",10-22 LPA,ML Architect
Cybersecurity Analyst,"Networking,Python,Cybersecurity","Ethical Hacking,Kali Linux",7,Advanced,CEH,Scam Detection System,"Security,Threat Analysis",Add cybersecurity labs and reports,Cybersecurity,"Wireshark,Metasploit","Attention to Detail,Problem Solving",7-16 LPA,Security Architect
Database Administrator,"TensorFlow,Docker,Excel,Power BI","Power BI,Docker",8,Advanced,Understand Certification,English as a foreign language teacher,"MongoDB,C++,Kubernetes",Improve projects and quantify achievements,AI,"Kubernetes,Git","Problem Solving,Teamwork",8-21 LPA,Contractor
Cloud Engineer,"React,AWS,Excel,Git","Linux,Docker",7.3,Advanced,Pull Certification,"Psychologist, clinical","Kubernetes,Figma,TensorFlow",Improve projects and quantify achievements,AI,"Excel,Power BI","Leadership,Communication",4-20 LPA,Arts administrator
